title,url,rating,rating_count,description,genre,content_rating,duration
V for Vendetta,https://www.imdb.com/title/tt0434409/,8.1,1194029,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of &quot;V&quot;, plots to overthrow the tyrannical government - with the help of a young woman.","Action, Drama, Sci-Fi",R,PT2H12M
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,8.1,566067,A mother personally challenges the local authorities to solve her daughter&apos;s murder when they fail to catch the culprit.,"Comedy, Crime, Drama",R,PT1H55M
Raging Bull,https://www.imdb.com/title/tt0081398/,8.1,386210,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography, Drama, Sport",R,PT2H9M
Trainspotting,https://www.imdb.com/title/tt0117951/,8.1,736060,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Drama,R,PT1H33M
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,8.1,236817,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Adventure, Drama, War",PG,PT2H41M
Klaus,https://www.imdb.com/title/tt4729430/,8.2,195596,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",PG,PT1H36M
Catch Me If You Can,https://www.imdb.com/title/tt0264464/,8.1,1124178,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography, Crime, Drama",PG-13,PT2H21M
Fargo,https://www.imdb.com/title/tt0116282/,8.1,737932,Minnesota car salesman Jerry Lundegaard&apos;s inept crime falls apart due to his and his henchmen&apos;s bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime, Thriller",R,PT1H38M
Warrior,https://www.imdb.com/title/tt1291584/,8.1,504304,"The youngest son of an alcoholic former boxer returns home, where he&apos;s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Action, Drama, Sport",PG-13,PT2H20M
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,8.2,909813,"With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","Action, Adventure, Fantasy",PG-13,PT2H28M
Gran Torino,https://www.imdb.com/title/tt1205489/,8.1,825011,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Drama,R,PT1H56M
Harry Potter and the Deathly Hallows - Part 2,https://www.imdb.com/title/tt1201607/,8.1,967753,"Harry, Ron, and Hermione search for Voldemort&apos;s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure, Family, Fantasy",PG-13,PT2H10M
Million Dollar Baby,https://www.imdb.com/title/tt0405159/,8.1,731409,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.","Drama, Sport",PG-13,PT2H12M
Tonari no Totoro,https://www.imdb.com/title/tt0096283/,8.1,391947,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation, Comedy, Family",G,PT1H26M
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,8.1,1134329,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.","Action, Adventure, Sci-Fi",R,PT2H
Bacheha-ye aseman,https://www.imdb.com/title/tt0118849/,8.2,82624,"After a boy loses his sister&apos;s pair of shoes, he goes on a series of adventures in order to find them. When he can&apos;t, he tries a new way to &quot;win&quot; a new pair.","Drama, Family, Sport",PG,PT1H29M
Ben-Hur,https://www.imdb.com/title/tt0052618/,8.1,257159,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it&apos;s not long before he regains his freedom and comes back for revenge.","Adventure, Drama",G,PT3H32M
12 Years a Slave,https://www.imdb.com/title/tt2024544/,8.1,751033,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography, Drama, History",R,PT2H14M
Barry Lyndon,https://www.imdb.com/title/tt0072684/,8.1,187031,An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.,"Adventure, Drama, War",PG,PT3H5M
Before Sunrise,https://www.imdb.com/title/tt0112471/,8.1,347706,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance",R,PT1H41M
Blade Runner,https://www.imdb.com/title/tt0083658/,8.1,836323,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Action, Drama, Sci-Fi",R,PT1H57M
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1,903173,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge.","Adventure, Comedy, Crime",R,PT1H39M
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,8.1,612910,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Biography, Drama, History",R,PT2H19M
Gone Girl,https://www.imdb.com/title/tt2267998/,8.1,1090515,"With his wife&apos;s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it&apos;s suspected that he may not be innocent.","Drama, Mystery, Thriller",R,PT2H29M
Dead Poets Society,https://www.imdb.com/title/tt0097165/,8.1,564139,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys&apos; boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.","Comedy, Drama",PG,PT2H8M
Maharaja,https://www.imdb.com/title/tt26548265/,8.5,49793,"A barber seeks vengeance after his home is burglarized, cryptically telling police his &quot;lakshmi&quot; has been taken, leaving them uncertain if it&apos;s a person or object. His quest to recover the elusive &quot;lakshmi&quot; unfolds.","Action, Crime, Drama",N/A,PT2H21M
Salinui chueok,https://www.imdb.com/title/tt0353969/,8.1,225908,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime, Drama, Mystery",Not Rated,PT2H12M
In the Name of the Father,https://www.imdb.com/title/tt0107207/,8.1,190481,"An Irish man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.","Biography, Crime, Drama",R,PT2H13M
The Gold Rush,https://www.imdb.com/title/tt0015864/,8.1,120497,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure, Comedy, Drama",Approved,PT1H35M
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/,8.1,1000715,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation, Adventure, Comedy",G,PT1H32M
Relatos salvajes,https://www.imdb.com/title/tt3011894/,8.1,221212,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy, Drama, Thriller",R,PT2H2M
The Deer Hunter,https://www.imdb.com/title/tt0077416/,8.1,367787,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama, War",R,PT3H3M
Ratatouille,https://www.imdb.com/title/tt0382932/,8.1,851291,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation, Adventure, Comedy",G,PT1H51M
The General,https://www.imdb.com/title/tt0017925/,8.1,99847,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...","Action, Adventure, Comedy",Passed,PT1H18M
Sherlock Jr.,https://www.imdb.com/title/tt0015324/,8.2,58779,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch.","Action, Comedy, Romance",Passed,PT45M
Jaws,https://www.imdb.com/title/tt0073195/,8.1,676441,"When a massive killer shark unleashes chaos on a beach community off Long Island, it&apos;s up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure, Drama, Thriller",PG,PT2H4M
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/,8.1,817338,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation, Action, Adventure",PG,PT1H38M
On the Waterfront,https://www.imdb.com/title/tt0047296/,8.1,167873,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.","Crime, Drama, Thriller",Approved,PT1H48M
Mary and Max.,https://www.imdb.com/title/tt0978762/,8.1,189686,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger&apos;s syndrome.","Animation, Comedy, Drama",Not Rated,PT1H32M
Le salaire de la peur,https://www.imdb.com/title/tt0046268/,8.1,67956,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller",Not Rated,PT2H36M
Ford v Ferrari,https://www.imdb.com/title/tt1950186/,8.1,497703,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action, Biography, Drama",PG-13,PT2H32M
Smultronstället,https://www.imdb.com/title/tt0050986/,8.1,117057,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama, Romance",Not Rated,PT1H32M
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,8.1,123126,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...","Comedy, Drama",Approved,PT2H9M
The Third Man,https://www.imdb.com/title/tt0041959/,8.1,185235,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir, Mystery, Thriller",Approved,PT1H33M
Logan,https://www.imdb.com/title/tt3315342/,8.1,863620,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action, Drama, Sci-Fi",R,PT2H17M
Rocky,https://www.imdb.com/title/tt0075148/,8.1,641768,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama, Sport",PG,PT2H
Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,8.1,70515,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,Not Rated,PT2H16M
The Big Lebowski,https://www.imdb.com/title/tt0118715/,8.1,873244,"Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy, Crime",R,PT1H57M
Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,8.1,202369,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Drama, Fantasy",Not Rated,PT1H36M
Room,https://www.imdb.com/title/tt3170832/,8.1,458461,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama, Thriller",R,PT1H58M
Spotlight,https://www.imdb.com/title/tt1895587/,8.1,508826,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography, Crime, Drama",R,PT2H9M
The Terminator,https://www.imdb.com/title/tt0088247/,8.1,942569,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior who will lead a resistance to save humankind from extinction.,"Action, Adventure, Sci-Fi",R,PT1H47M
Hotel Rwanda,https://www.imdb.com/title/tt0395169/,8.1,377438,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History",PG-13,PT2H1M
Platoon,https://www.imdb.com/title/tt0091763/,8.1,446376,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Drama, War",R,PT2H
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,8.1,1234036,"Blacksmith Will Turner teams up with eccentric pirate &quot;Captain&quot; Jack Sparrow to save Elizabeth Swann, the governor&apos;s daughter and his love, from Jack&apos;s former pirate allies, who are now undead.","Action, Adventure, Fantasy",PG-13,PT2H23M
La haine,https://www.imdb.com/title/tt0113247/,8.1,202652,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama",Not Rated,PT1H38M
Before Sunset,https://www.imdb.com/title/tt0381681/,8.1,293939,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour.","Drama, Romance",R,PT1H20M
La passion de Jeanne d&apos;Arc,https://www.imdb.com/title/tt0019254/,8.1,62242,"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography, Drama, History",Passed,PT1H54M
Jai Bhim,https://www.imdb.com/title/tt15097216/,8.7,220780,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime, Drama, Mystery",Approved,PT2H44M
The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,8.1,72015,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama, Romance, War",Approved,PT2H50M
The Exorcist,https://www.imdb.com/title/tt0070047/,8.1,465153,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",Horror,R,PT2H2M
Rush,https://www.imdb.com/title/tt1979320/,8.1,522391,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.","Action, Biography, Drama",R,PT2H3M
The Incredibles,https://www.imdb.com/title/tt0317705/,8.0,829040,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation, Action, Adventure",PG,PT1H55M
Network,https://www.imdb.com/title/tt0074958/,8.1,173889,"A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",Drama,R,PT2H1M
The Wizard of Oz,https://www.imdb.com/title/tt0032138/,8.1,435746,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others...","Adventure, Family, Fantasy",G,PT1H42M
Stand by Me,https://www.imdb.com/title/tt0092005/,8.1,451525,A writer recounts a childhood journey with his friends to find the body of a missing boy.,"Adventure, Comedy, Drama",R,PT1H29M
Hachi: A Dog&apos;s Tale,https://www.imdb.com/title/tt1028532/,8.1,318305,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker&apos;s loyal companion. As their bond grows deeper, a beautiful relationship un...","Biography, Drama, Family",G,PT1H33M
The Sound of Music,https://www.imdb.com/title/tt0059742/,8.1,266700,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography, Drama, Family",G,PT2H52M
Babam ve Oglum,https://www.imdb.com/title/tt0476735/,8.2,94544,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama, Family",Not Rated,PT1H52M
Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,8.1,179200,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...","Drama, Romance, Thriller",Not Rated,PT2H25M
To Be or Not to Be,https://www.imdb.com/title/tt0035446/,8.1,44479,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.","Comedy, Romance, War",Approved,PT1H39M
Into the Wild,https://www.imdb.com/title/tt0758758/,8.1,666783,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.","Adventure, Biography, Drama",R,PT2H28M
La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,8.1,67176,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama, War",Not Rated,PT2H1M
The Iron Giant,https://www.imdb.com/title/tt0129167/,8.1,234556,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure",PG,PT1H26M
Groundhog Day,https://www.imdb.com/title/tt0107048/,8.0,697390,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","Comedy, Drama, Fantasy",PG,PT1H41M
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,8.1,101619,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,Approved,PT2H9M
Amores perros,https://www.imdb.com/title/tt0245712/,8.0,256211,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.","Drama, Thriller",R,PT2H34M
Rebecca,https://www.imdb.com/title/tt0032976/,8.1,149250,A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.,"Drama, Mystery, Romance",Approved,PT2H10M
The Help,https://www.imdb.com/title/tt1454029/,8.1,501394,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",Drama,PG-13,PT2H26M
Cool Hand Luke,https://www.imdb.com/title/tt0061512/,8.1,191355,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama",Approved,PT2H7M
It Happened One Night,https://www.imdb.com/title/tt0025316/,8.1,114482,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,"Comedy, Romance",Approved,PT1H45M
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,8.2,105705,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Action, Comedy, Crime",Not Rated,PT5H21M
Drishyam,https://www.imdb.com/title/tt4430212/,8.2,97898,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Crime, Drama, Mystery",Not Rated,PT2H43M
Andhadhun,https://www.imdb.com/title/tt8108198/,8.2,105483,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Crime, Mystery, Thriller",Not Rated,PT2H19M
