Rank,Title,Year,Rating,Genres,Director,Casts,Budget,Gross Worldwide
1,The Shawshank Redemption,1994,9.3,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane, Renee Blaine, Scott Mann, John Horton, Gordon Greene, Alfonso Freeman, Vincent Foster, John E. Summers, Frank Medrano, Mack Miles, Alan R. Kessler, Morgan Lund, Cornell Wallace, Gary Lee Davis, Neil Summers, Ned Bellamy, Joe Pecoraro, Harold E. Cope Jr., Brian Delate, Don McManus, Donald Zinn, Dorothy Silver, Robert Haley, Dana Snyder, John D. Craig, Ken Magee, Eugene C. DePasquale, Bill Bolender, Ron Newell, John R. Woodward, Chuck Brauchler, Dion Anderson, Claire Slemmer, James Kisicki, Rohn Thomas, Charlie Kearns, Rob Reider, Brian Brophy, Paul Kennedy, James Babson, Dennis Baker, Fred Culbertson, Richard Doone, Samantha Goldberg, Shane Grove, Rita Hayworth, David Hecht, Alonzo F. Jones, Gary Jones, Sergio Kato, Michael Lightsey, Tracy Love, George Macready, Christopher Page, Neil Riddaway, Brad Spencer, Jodiviah Stepp, Mark A. Strain",N/A,N/A
2,The Godfather,1972,9.2,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana, John Martino, Salvatore Corsitto, Richard Bright, Alex Rocco, Tony Giorgio, Vito Scotti, Tere Livrano, Victor Rendina, Jeannie Linero, Julie Gregg, Ardell Sheridan, Simonetta Stefanelli, Angelo Infanti, Corrado Gaipa, Franco Citti, Saro Urzì, Frank Albanese, Chris Anastasio, Norm Bacchiocchi, John Blower, Max Brandt, Tybee Brascia, Garrett Cassell, Carmine Coppola, Gian-Carlo Coppola, Italia Coppola, Roman Coppola, Sofia Coppola, Don Costello, Robert Dahdah, Richard Fass, Gray Frederickson, Ron Gilbert, Anthony Gounaris, Joe Lo Grippo, Sonny Grosso, Louis Guss, Bobra Harris, Mickey Humm, Merril E. Joels, Randy Jurgensen, Tony King, Paul Lambert, Peter Lemongello, Tony Lip, Lou Martini Jr., Raymond Martino, Joseph Medaglia, Carol Morley, Dave Moskin, Rick Petrucelli, Joe Petrullo, Burt Richards, Sal Richards, Chuck Riley, Tom Rosqui, Giacomo Rossi Stuart, Nino Ruggeri, Frank Sivero, Filomena Spagnuolo, Joe Spinell, Gabriele Torrei, Palombizio Anthony V., Nick Vallelonga, Ed Vantura, Ron Veto, Matthew Vlahakis, Conrad Yama",N/A,N/A
3,The Dark Knight,2008,9.0,"Action, Crime, Drama, Thriller",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall, Keith Szarabajka, Colin McFarlane, Joshua Harto, Melinda McGraw, Nathan Gamble, Michael Vieau, Michael Stoyanov, William Smillie, Danny Goldring, Michael Jai White, Matthew O'Neill, William Fichtner, Olumiji Olawumi, Greg Beam, Erik Hellman, Beatrice Rosen, Vincenzo Nicoli, Edison Chen, Nydia Rodriguez Terracina, Andy Luther, James Farruggio, Tom McElroy, Will Zahrn, James Fierro, Patrick Leahy, Sam Derence, Jennifer Knox, Patrick Clear, Sarah Jayne Dunn, Charles Venn, Winston Ellis, David Dastmalchian, Sophia Hinshelwood, Keith Kupferer, Joe Caballero, Richard Dillane, Daryl Satcher, Chris Petschler, Aidan Feore, Philip Bulcock, Paul Birchard, Walter Lewis, Vincent Riotta, Nancy Crane, K. Todd Freeman, Matt Shallenberger, Michael Andrew Gorman, Lanny Lutz, Peter DeFaria, Matt Rippy, Andrew Bicknell, Ariyon Bakare, Doug Ballard, Helene Maksoud, Tommy Campbell, Craig Heaney, Sutara Gayle, Lisa McAllister, Peter Brooke, Joshua Rollins, Dale Rivera, Matthew Leitch, Tom Lister Jr., Thomas Gaitsch, William Armstrong, Adam Kalesperis, Tristan Tait, Bronson Webb, David Ajala, Gertrude Mosley, Jonathan Ryland, James Pax, Nigel Carrington, Ian Pirie, Lateef Lovejoy, Grahame Edwards, Roger Monk, Ronan Summers, Wai Wong, Michael Corey Foster, Hannah Gunn, Brandon Lambdin, Jeff Albertson, Tracy L. Aldaz, Matthew W. Allen, Stephen Armourae, Alisa Azpeitia, Mike Bach, Wayne Baker, Martin Ballantyne, Tommy Bartlett, Paul Bateman, Blayne Bennett, Christian Black, Craig Braginsky, Jon Lee Brody, Douglas Bunn, Debbi Burns, Luke Burnyeat, Maritza Cabrera, Shirin Caiola, Fabrice Calmels, David Chadwick, Josh Chapman, Laura Chernicky, Jamie Cho, Matt Cho, Henry Milton Chu, Kelli Clevenger, Janaah Coates, David Cosey, Francisco Crespo, Rachel Daugherty, Bruce Allen Dawson, Danielle Day, Richard Divizio, Tony Domino, Jessica Doyle, Laine Edwards, R. Michael Egan, David William James Elliott, Dan Evashevski, Gene Fojtik, Reese Foster, Jason Frederick, Jason Fuller, Darren Fulsher, David Fultz, Scott Ganyo, Marisol Giraud, Tim Glanfield, Dan Gossen, Lisa Greene, Sharlene Grover, Natalie Hallam, Thomas Hartmann, Chris Hastings, Alexander Hathaway, Jordon Hodges, Kevin Hope, John Hoving, Sean Hynes, Bill Ibrahim, T.G. Jamroz, Charles Jarman, Erron Jay, Daniel Jefferson, Ramses Jimenez, Will Jones, Bob Kaliebe, Nicky Katt, Mark Keiser, Charlie Kierscht, Thomas Kosik, Don Kress, Ryan Kross, Tim Krueger, Michael Kuster, Dan Latham, Joseph Lazicki, Donovan Leitch Jr., David Lesley, Ivan Lovegren, Deborah Lynn, Noelle Lynn, Jonathan Macchi, Al Marchesi, J.R. Martino, Joseph Mazurk, Tom McComas, Krista McEnany, Ryan McGonagle, James Mellor, Denise Meyer Kennell, David J. Nadolski, Joseph Nelson, Joseph Oliveira, Sal Ozbay, Christopher Pastenes, Libby Pedersen, Greg Peterson, Ernest Pierce, Kevin Pitcairn, Rory Plante, Pek Pongpaet, Charles Query, Marc Radz, Buster Reeves, Sara Ritz, Peter Rnic, Gary Ryder, Kelly Saindon, Elisa Schleef, Greg Schweiner, Jan Seybold, Amit Shah, Vivek Shah, Michael Sherwin, Michelle Shields, Tina Simmons, Kit Sinnett, Sofiya Smirnova, John Snowden, Lorea Solabarrieta, Dwight Sora, Bruce Spielbauer, January Stern, Robert Patrick Stern, Jordan Stone, Robert Stone, Richard Strobel, Albert Tang, Jim Templar, Chris D. Thomas, John Thurner, Tinnie Tong, Tom Townsend, Chuen Tsou, John Turk, James Warfield, John Warman, Joel Wasserman, Mike Whyte, Chris Wilson, Lisa Wolf, Debi Wollitzer, Essa Zahir, Kevin Zaideman",N/A,N/A
4,The Godfather Part II,1974,9.0,"Crime, Drama",Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste, Dominic Chianese, Amerigo Tot, Troy Donahue, John Aprea, Joe Spinell, Abe Vigoda, Tere Livrano, Gianni Russo, Maria Carta, Oreste Baldini, Giuseppe Sillato, Mario Cotone, James Gounaris, Fay Spain, Harry Dean Stanton, James Murdock, Carmine Caridi, Danny Aiello, Carmine Foresta, Nick Discenza, Joseph Medaglia, William Bowers, Joseph Della Sorte, Carmen Argenziano, Joe Lo Grippo, Ezio Flagello, Livio Giorgi, Kathleen Beller, Saveria Mazzola, Tito Alba, Johnny Naranjo, Elda Maida, Salvatore Po, Ignazio Pappalardo, Andrea Maugeri, Peter LaCorte, Vincent Coppola, Peter Donat, Tom Dahlgren, Paul B. Brown, Phil Feldman, Roger Corman, Ivonne Coll, Joe De Nicola, Edward Van Sickle, Gabriella Belloni, Richard Watson, Venancia Grangerard, Erica Yohn, Teresa Tirelli, Margaret Bacon, Al Beaudine, Jack Berle, John Blower, James Caan, Larry Carr, Dick Cherney, Jack Clinton, Italia Coppola, Roman Coppola, Sofia Coppola, Victor Pujols Faneyte, Len Felber, Irma Gimbernard, Julie Gregg, Raven Grey Eagle, Larry Guardino, Dan Harris, George Holmes, Buck Houghton, Shep Houghton, Karyn Jansen, Kathryn Janssen, Ken Koc, Shô Kosugi, Gary Kurtz, Tommy Lasorda, Alan Lee, Laura Lyons, Alan Marston, Richard Matheson, John Megna, Joe Pine, Felipe Polanco, Jay Rasumny, Harrison Ressler, Al Roberts, Rhea Ruggiero, Carmelo Russo, George Simmons, Filomena Spagnuolo, Nico Stevens, Arthur Tovey, Palombizio Anthony V., Julian Voloshin, Wally West, Judith Woodbury",N/A,N/A
5,12 Angry Men,1957,9.0,"Crime, Drama",Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber, Rudy Bond, Tom Gorman, James Kelly, Billy Nelson, John Savoca, Walter Stocker",N/A,N/A
6,The Lord of the Rings: The Return of the King,2003,9.0,"Action, Adventure, Drama, Fantasy",Peter Jackson,"Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill, Ian Holm, Bruce Hopkins, Ian Hughes, Lawrence Makoare, Ian McKellen, Bret McKenzie, Sarah McLeod, Maisy McLeod-Riera, Dominic Monaghan, Viggo Mortensen, John Noble, Paul Norell, Miranda Otto, Bruce Phillips, Shane Rangi, John Rhys-Davies, Todd Rippon, Thomas Robins, Andy Serkis, Harry Sinclair, Peter Tait, Joel Tobeck, Liv Tyler, Karl Urban, Stephen Ure, Hugo Weaving, David Wenham, Elijah Wood, Alan Howard, Sala Baker, Robert Pollock, Ross Duncan, Pete Smith, Jed Brophy, Lee Hartley, Billy Jackson, Katherine Jackson, Brad Dourif, Phil Grieve, Michael Harrison, Christopher Lee, Bruce Spence, Jane Abbott, Gino Acevedo, Narelle Ahrens, Geoff Allen, Frazer Anderson, Daniel Andrews, Maria Arnott, Ben Barrington, Aidan Bell, James Bennett, Jarl Benzon, Jørn Benzon, Bob Blackwell, Dorothy Anne Bonner, Ben Britton, Ian Brodie, Luke Burnyeat, Alix Bushnell, Eddie Campbell, Clint Carleton, Carey Carter, Robert Catto, Alessio Cavatore, Richard Chapman, Elizabeth Crummett, Mana Hira Davis, Emma Deakin, Peter Dillon, Meredith Dooley, Aron Eastwood, Greg Ellis, Michael Elsworth, Clint Elvy, Mark Ferguson, Simon Ferry, Siaosi Fonua, Rowan Fordham, Michael Fowler, Ben Fransham, Brian Gibb, Andy Gunn, Craig Hall, Felicity Hamill, Winham Hammond, June Hancock, Jonathan Harding, Zo Hartley, Fraser Hesketh, Anna Hewlett, Jason Hood, Brian Hotter, Davey Hughes, Peter Jackson, Dee Jamieson, Ralph Johnson, Tim Kano, Sam Kelly, Ron Kerkmeester, Kevin Keys, Liz Kirkman, Sandro Kopp, Andrew Lesnie, Bernie Lord, Isaac D Lucas, Beth Malcolm, Jono Manks, Alan Marsh, Kirk Maxwell, Steve McCleary, Charlie McDermott, Brent McIntyre, Paul McLaughlin, Iain Middleton, Joseph Mika-Hunt, Des Morgan, Henry Mortensen, Francis Mountjoy, Craig Parker, Alan Perry, Michael Perry, Wayne Phillips, Craig Poll, Rick Porras, Daniel Rathbon, Deborah Eve Rea, Christian Rivers, Campbell Rousselle, Chris Ryan, Michael Semanick, Howard Shore, Shaneel Sidal, Dianne Smith, Andrew Stehlin, Ken Stratton, Mikel Taylor, Richard Taylor, Melvin Te Wani, Robbie Titchener, Royd Tolkien, Walter Walsh, Irene Wood, Robert Young",N/A,N/A
7,Schindler's List,1993,9.0,"Biography, Drama, History",Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola, Andrzej Seweryn, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Norbert Weisser, Adi Nitzan, Michael Schneider, Miri Fabian, Anna Mucha, Albert Misak, Michael Gordon, Aldona Grochal, Jacek Wójcicki, Beata Paluch, Piotr Polk, Ezra Dagan, Beata Deskur, Rami Heuberger, Leopold Kozlowski, Jerzy Nowak, Uri Avrahami, Adam Siemion, Magdalena Dandourian, Pawel Delag, Shabtai Konorti, Oliwia Dabrowska, Henryk Bista, Tadeusz Bradecki, Wojciech Klata, Elina Löwensohn, Ewa Kolasinska, Bettina Kupfer, Grzegorz Kwas, Vili Matula, Stanislaw Koczanowicz, Hans-Jörg Assmann, Geno Lechner, August Schmölzer, Ludger Pistor, Beata Rybotycka, Branko Lustig, Artus Maria Matthiessen, Hans-Michael Rehberg, Eugeniusz Priwieziencew, Michael Z. Hoffmann, Erwin Leder, Jochen Nickel, Andrzej Welminski, Daniel Del-Ponte, Marian Glinka, Grzegorz Damiecki, Stanislaw Brejdygant, Olaf Lubaszenko, Haymon Maria Buttinger, Peter Appiano, Jacek Pulanecki, Tomasz Dedek, Slawomir Holland, Martin Semmelrogge, Tadeusz Huk, Alexander Held, Piotr Cyrwus, Joachim Paul Assböck, Osman Ragheb, Maciej Orlos, Marek Wrona, Zbigniew Kozlowski, Marcin Grzymowicz, Dieter Witting, Magdalena Komornicka, Agnieszka Krukówna, Anemona Knut, Jeremy Flynn, Agnieszka Wagner, Jan Jurewicz, Wieslaw Komasa, Maciej Kozlowski, Martin Bergmann, Wilhelm Manske, Peter Flechtner, Sigurd Bemme, Etl Szyc, Lucyna Zabawa, Ruth Farhi, Jerzy Sagan, Dariusz Szymaniak, Dirk Bender, Maciej Winkler, Radoslaw Krzyzowski, Jacek Lenczowski, Hanna Kossowska, Maja Ostaszewska, Sebastian Skalski, Ryszard Radwanski, Piotr Kadlcik, Lech Niebielski, Thomas Morris, Sebastian Konrad, Lidia Wyrobiec-Bank, Ravit Ferera, Agnieszka Korzeniowska, Dominika Bednarczyk, Alicja Kubaszewska, Danny Marcu, Hans Rosner, Edward Linde-Lubaszenko, Alexander Strobele, Georges Kern, Alexander Buczolich, Michael Schiller, Götz Otto, Wolfgang Seidenberg, Hubert Kramar, Razia Israeli, Dorit Seadia, Esti Yerushalmi, Joseph Bau, Marta Bizon, Lara Cody, Blythe Daniel, Janek Dresner, Shannon Frank, Ryszard Horowitz, Maciej Kowalewski, Kamil Krawiec, Zuzanna Lipiec, Johnny Martin, Maria Peszek, Leopold Pfefferberg, Paul Rausmussen, Helen Rosner, Leopold Rosner, Emilie Schindler, Katarzyna Smiechowicz, Ben Talar, Katarzyna Tlalka, Harrison White",N/A,N/A
8,Pulp Fiction,1994,8.9,"Crime, Drama",Quentin Tarantino,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta, Samuel L. Jackson, Phil LaMarr, Frank Whaley, Burr Steers, Bruce Willis, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Uma Thurman, Jerome Patrick Hoban, Michael Gilden, Gary Shorelle, Susan Griffiths, Eric Clark, Joseph Pilato, Brad Blumenthal, Steve Buscemi, Lorelei Leslie, Emil Sitka, Brenda Hillhouse, Christopher Walken, Chandler Lindauer, Sy Sher, Robert Ruth, Rich Turner, Angela Jones, Don Blakely, Carl Allen, Maria de Medeiros, Karen Maruyama, Kathy Griffin, Venessia Valentino, Linda Kaye, Duane Whitaker, Peter Greene, Stephen Hibbert, Alexis Arquette, Quentin Tarantino, Harvey Keitel, Julia Sweeney, Lawrence Bender, Cie Allman, Rene Beard, Brent Hatley, Rhys Kirkman, Pui Fan Lee, Justin Mullins, Lori Pizzo, Glendon Rich, Devan Richardson, Richard Rossi, Ani Sava, Devin Schumacher",N/A,N/A
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,"Action, Adventure, Drama, Fantasy",Peter Jackson,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Billy Boyd, Andy Serkis, Marton Csokas, Viggo Mortensen, Orlando Bloom, Megan Edwards, Michael Elsworth, Cate Blanchett, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare, Brent McIntyre, Ian McKellen, Peter McKenzie, Sarah McLeod, Dominic Monaghan, Ian Mune, Craig Parker, Cameron Rhodes, John Rhys-Davies, Martyn Sanderson, Brian Sergent, Harry Sinclair, Liv Tyler, David Weatherley, Hugo Weaving, Elijah Wood, Victoria Beynon-Cole, Lee Hartley, Sam La Hood, Chris Streeter, Jonathan Jordan, Semi Kuresa, William Johnson, Clinton Ulyatt, Paul Bryson, Elizabeth Moody, Lance Fabian Kemp, Jono Manks, Ben Price, Phil Grieve, Billy Jackson, Katherine Jackson, Peter Corrigan, Lori Dungey, Norman Forsey, Thomas McGinty, Kate O'Rourke, Gino Acevedo, Betty Adams, Frazer Anderson, Daniel Andrews, Matt Appleton, Rodney Bane, Timothy Bartlett, Jarl Benzon, Jørn Benzon, Lynden Berryman, Bob Blackwell, Ben Britton, Jed Brophy, Riley Brophy, Sean Button, Ryan Carey, Justin B. Carter, Norman Cates, Rachel Clentworth, Randall William Cook, Sabine Crossen, Tack Daniel, Peter Daube, Mana Hira Davis, Shane Dawson, Branko Dordevich, Siaosi Fonua, Kester Fordham, Xander Forterie, Ben Fransham, Matthew Gibbons, Phoebe Gittins, Warren Green, Andy Gunn, Winham Hammond, Jonathan Harding, Zo Hartley, Taea Hartwell, Jeff Hawkes, Ray Henwood, Dave Houma, John Howe, Lani Jackson, Peter Jackson, Gareth Jensen, Ralph Johnson, Stu Johnson, Tim Kano, Sam Kelly, Jeff Kingsford-Brown, Greg Lane, Alan Lee, Sacha Lee, Bernie Lord, Peter Lyon, Marta Martí, Sharon Maxwell, Richard Maybery, Bret McKenzie, Tim McLachlan, Nathan Meister, Liz Merton, Arnold Montey, James Morcan, Dean Morganty, Greg 'Danger' Morrison, Blair Morton, Andrew Munro, David J. Muzzerall, Timothy Patrick, Nooroa Poa, Christy Qulliam, Shane Rangi, Chris Reid, Ken Reinsfield, Steve Reinsfield, Larry Rew, Grant Roa, Thomas Robins, Vincent Roxburgh, Chris Ryan, Devin Schumacher, Paul Shapcott, Sam Shore, Bruce Sinclair, Mike Stearne, Andrew Stehlin, Rebecca Stone, Ken Stratton, Jo Surgison, Kate Surgison, Billy 'Roy' Taylor, Melvin Te Wani, Marcus Thorne, John Turner, James Waterhouse-Brown, Josh Widdicombe, Tim Wong, Brendan Young, Robert Young, Saeed Zamiri",N/A,N/A
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure, Drama, Western",Sergio Leone,"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, John Bartha, Livio Lorenzon, Antonio Casale, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas, Aldo Sambrell, Al Mulock, Sergio Mendizábal, Antonio Molino Rojo, Lorenzo Robledo, Mario Brega, Richard Alagich, Chelo Alonso, Fortunato Arena, Román Ariznavarreta, Silvana Bacci, Joseph Bradley, Frank Braña, Amerigo Castrighella, Saturno Cerra, Luigi Ciavarro, William Conroy, Antonio Contreras, Domingo Contreras, Axel Darna, Antonio Decembrino, Tony Di Mitri, Gianni Di Segni, Alberigo Donadeo, Attilio Dottesio, Peter Fernandez, Luis Fernández de Eribe, Veriano Ginesi, Jesús Guzmán, Víctor Israel, Antonio Montoya, Nazzareno Natale, Ricardo Palacios, Antonio Palombi, Julio Martínez Piernavieja, Jesús Porras, Romano Puppo, Antoñito Ruiz, Aysanoa Runachagua, Enrique Santiago, José Terrón, Franco Tocci, Alfonso Veady",N/A,N/A
11,Forrest Gump,1994,8.8,"Drama, Romance",Robert Zemeckis,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Hanna Hall, Tyler Long, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Robin Wright, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel C. Striepeke, Bruce Lucvia, David Brisbin, Kirk Ward, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Jed Gillin, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Mykelti Williamson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Danté McCarthy, Paulie DiCocco, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Gary Sinise, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Steve DeRelian, Byron Minns, Stephen Bridgewater, Bonnie Ann Burgess, Scott Oliver, John William Galt, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Alessandro, Dick Stilwell, Kevin Davis, Michael Jace, Geoffrey Blake, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentine, Dick Cavett, Joe Stefanelli, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Joe Alaskey, Lazarus Jackson, W. Benson Terry, Matt Rebenkoff, Peter Bannon, The Hallelujah Singers of Beaufort South Carolina, Joe Washington, Nora Dunfee, Natalie Hendrix Tate, Hallie D'Amore, Chiffonye Cobb, Juan Singleton, Bobby Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Timothy McNeil, Haley Joel Osment, Lonnie Hamilton, Teresa Denton, Joe Abby, Rob Adams, Todd Adamson, Markus Alexander, Neil Armstrong, Beth Aylward, Marcus Batton, Keri-Anne Bilotta, Jim Boeke, Arthur Bremer, Grand L. Bush, Clint Calvert, Daniel Chamblin, Troy Christian, Dick Clark, John Connally, Darren W. Conrad, Jim Damron, Ryan Duncan, James Ent, Gerald Ford, Michael Garvey, Leigh Goodoff, Christopher James Hall, Bryan Hanna, Ellsworth Hanna, Jeanne Hanna, Zach Hanner, John Glenn Harding, Bob Hope, Jenny Inge, Russ Isles, Lyndon B. Johnson, Shann Johnson, Jim Keller, John F. Kennedy, Robert F. Kennedy, Conor Kennelly, Aaron Michael Lacey, Teddy Lane Jr., John Lennon, Andrew Lepper, Beau Lotterman, Jacqueline Lovell, Richard Nixon, Darrell O'Cook, Michael Oliver, Shawn Michael Perry, Elvis Presley, Ronald Reagan, Mark A. Rich, Kurt Russell, Michael Satterfield, William Shipman, John Simmit, Robb Skyler, John-Michael Steele, Mary Ellen Trainor, USC Trojan Marching Band, George Wallace, Eric Alan Wendell, Zhuang Zedong",N/A,N/A
